,episode_ids,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,summary
471,471,1969215,https://www.tvmaze.com/episodes/1969215/familiekokkene-1x02-barnebursdag,Barnebursdag,1.0,2.0,regular,2020-12-04,18:00,2020-12-04,59.0,,
472,472,1959889,https://www.tvmaze.com/episodes/1959889/wilmore-1x11-america,America,1.0,11.0,regular,2020-12-04,,2020-12-04,23.0,8.7,Actress and filmmaker Kerry Washington; WNBA champion Sue Bird; writer and actress Gina Yashere.
473,473,1987427,https://www.tvmaze.com/episodes/1987427/um-actually-4x09-switcheroo,Switcheroo!,4.0,9.0,regular,2020-12-04,,2020-12-04,30.0,,
474,474,1995402,https://www.tvmaze.com/episodes/1995402/engineering-the-future-1x01-wind,Wind,1.0,1.0,regular,2020-12-04,,2020-12-04,60.0,,"This film follows the race to generate vast power from thin air - the wind. One of the world's biggest windfarms is being built off the English coast where the harsh conditions pose great challenges for the team. Meanwhile, a Norwegian team is striving to build the first-ever floating windfarm."
475,475,1995403,https://www.tvmaze.com/episodes/1995403/engineering-the-future-1x02-aviation,Aviation,1.0,2.0,regular,2020-12-04,,2020-12-04,60.0,,"The way we fly is about to change, driven by a new breed of aviators not afraid to think differently. From clean, green electric aircraft to autonomous sky taxis, could the days of the jet age be numbered?"
476,476,1995404,https://www.tvmaze.com/episodes/1995404/engineering-the-future-1x03-fusion,Fusion,1.0,3.0,regular,2020-12-04,,2020-12-04,60.0,,"It is the greatest technological challenge ever undertaken by humankind. The quest to produce the ultimate energy solution…Fusion. It's been called ‘bottling a star but so immense are the challenges, the goal of a power-producing fusion reactor has so far remained elusive and out of reach….until now"
477,477,2169003,https://www.tvmaze.com/episodes/2169003/historys-greatest-mysteries-solved-1x04-watergate-whistleblower-secret-identity-revealed,Watergate Whistleblower: Secret Identity Revealed,1.0,4.0,regular,2020-12-04,,2020-12-04,10.0,,"In 1974, two journalists brought down President Richard Nixon by uncovering the Watergate scandal. Crucial to their story was a secret whistleblower called ""Deep Throat."" Over 30 years later, his identity was finally revealed."
478,478,2341524,https://www.tvmaze.com/episodes/2341524/trailer-park-boys-park-after-dark-2x28-pussyvale-nova-scotia,"Pussyvale, Nova Scotia",2.0,28.0,regular,2020-12-04,,2020-12-04,30.0,,"On the latest protein-filled fuckburger of fun: Julian plays Guess the Fucking Thing, Bubbles attempts to solve the monolith mystery, and Ricky's having trouble getting word learnt! Also: The Boys come up with a plan to get free porn!"
479,479,2308829,https://www.tvmaze.com/episodes/2308829/pants-on-fire-2x01-episode-1,Episode 1,2.0,1.0,regular,2020-12-04,21:00,2020-12-04,60.0,,"Emma Willis hosts. Can three teams convince Joe Swash and Dane Baptiste that they've completed jousting, eating and tattooing challenges?"
480,480,2308830,https://www.tvmaze.com/episodes/2308830/pants-on-fire-2x02-episode-2,Episode 2,2.0,2.0,regular,2020-12-04,21:00,2020-12-04,60.0,,"Three teams try to convince Katherine Ryan and Ricky Wilson that they've married a prince, become besties with Banksy and fallen 1000 metres."
481,481,2308831,https://www.tvmaze.com/episodes/2308831/pants-on-fire-2x03-best-bits,Best Bits,2.0,3.0,regular,2020-12-04,21:00,2020-12-04,60.0,,"A look back at top bluffing moments and unseen footage, as celebs including Jimmy Carr, Mel B and Maya Jama join Emma Willis to decide which of our daredevil teams are telling porkies."
482,482,1978323,https://www.tvmaze.com/episodes/1978323/zombies-2020-special-disney-holiday-magic-quest,Disney Holiday Magic Quest,,,insignificant_special,2020-12-04,20:00,2020-12-05,50.0,,Disney Villains have stolen the holiday magic from the Magic Kingdom Park; ZOMBIES stars race to see who can save it first.
483,483,1965175,https://www.tvmaze.com/episodes/1965175/zombies-addisons-monster-mystery-1x08-feelin-the-power,Feelin' the Power,1.0,8.0,regular,2020-12-04,21:15,2020-12-05,3.0,,Addison must break her friends free from Vanna's hypnosis!
484,484,1951739,https://www.tvmaze.com/episodes/1951739/205-live-2020-12-04-205-live-210,205 Live #210,,49.0,regular,2020-12-04,22:00,2020-12-05,60.0,,
485,485,1979826,https://www.tvmaze.com/episodes/1979826/sim-for-you-4x18-chanyeols-episode-18,Chanyeol's Episode 18,4.0,18.0,regular,2020-12-05,06:00,2020-12-04,16.0,,#DangerQuest #AbleToFly(?) #EntranceOfAWindSkill
486,486,1968112,https://www.tvmaze.com/episodes/1968112/po-sezonu-videodajdzest-seasonvar-6x49-vypusk-303,Выпуск 303,6.0,49.0,regular,2020-12-05,,2020-12-05,8.0,,
487,487,1980956,https://www.tvmaze.com/episodes/1980956/soul-land-7x03-di133ji,第133集,7.0,3.0,regular,2020-12-05,10:00,2020-12-05,20.0,,
488,488,1962056,https://www.tvmaze.com/episodes/1962056/heaven-officials-blessing-1x07-scorpion-tailed-snake-shadow,Scorpion-Tailed Snake Shadow,1.0,7.0,regular,2020-12-05,11:00,2020-12-05,25.0,,
489,489,1972559,https://www.tvmaze.com/episodes/1972559/the-wolf-1x17-episode-17,Episode 17,1.0,17.0,regular,2020-12-05,,2020-12-05,45.0,,
490,490,1972560,https://www.tvmaze.com/episodes/1972560/the-wolf-1x18-episode-18,Episode 18,1.0,18.0,regular,2020-12-05,,2020-12-05,45.0,,
491,491,2113317,https://www.tvmaze.com/episodes/2113317/klassen-3x16-bursdagstyven,Bursdagstyven,3.0,16.0,regular,2020-12-05,05:00,2020-12-05,11.0,,
