,shows_id,time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
360,475,12:00,1.0,1.0,1.0,1.0,1.0,0.0,0.0
361,477,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
362,478,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
363,481,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
364,482,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
365,484,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
366,487,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
367,488,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
368,489,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
369,490,06:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
370,491,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
371,492,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
372,494,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
373,497,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
374,501,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
375,503,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
376,505,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
377,507,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
378,508,21:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
379,510,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
380,512,20:20,0.0,0.0,0.0,0.0,0.0,0.0,1.0
381,513,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
382,515,20:00,1.0,0.0,0.0,0.0,0.0,0.0,1.0
383,516,20:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
384,517,20:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
385,518,10:00,1.0,0.0,0.0,0.0,1.0,0.0,0.0
386,519,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
387,520,19:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0
388,521,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
389,522,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
390,523,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
391,524,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
392,525,20:45,1.0,1.0,1.0,1.0,1.0,1.0,1.0
393,526,21:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
394,527,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
395,528,,0.0,1.0,1.0,0.0,0.0,0.0,0.0
396,529,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
397,530,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
398,531,17:00,0.0,1.0,0.0,0.0,1.0,0.0,0.0
399,537,22:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
400,540,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
401,544,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
402,545,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
403,546,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
